name,dapp_sector,dapp_category,sub_category,is_active,is_multi_chain,governance_type,ownership_status,level_of_decentralisation,research_comments,tags,token_symbol,token_type,website,launch_date,chains,raised_capital,tvl,tvl_ratio,market_cap,circulating_supply,total_supply,price,users,volume,transactions,total_liquidity_usd,percent_change_1h,percent_change_24h,percent_change_7d,percent_change_30d,percent_change_60d,percent_change_90d,liquidity_usd,gov_numeric,own_numeric,decent_numeric,governance_score,chain_count,market_cap_norm,users_norm,tvl_norm,market_maturity,volatility_index,liquidity_efficiency,tx_per_user,volume_per_user,market_cap_per_user,has_token,token_type_clean,token_type_primary,is_governance_token,is_utility_token,is_reward_token,is_multi_type_token,is_defi,is_prediction_market,is_rwa,is_ai,is_depin,is_gaming,is_social,activity_signal_count,governance_complete,data_completeness_score,eligible_loose,analysis_eligible,primary_sub_tag,in_primary_cohort,in_secondary_cohort,primary_cohort_id,secondary_cohort_id
HOT Protocol,defi,Bridge/Router,"Bridge, DAO Tooling, Play 2 Earn, Social",True,True,HYBRID,MIXED,SEMI_DECENTRALIZED,MPC/chain-signature oriented protocol; token exists; governance is not purely onchain-token-controlled and appears split between team + community processes.,"Social, Games, Play to Earn",HOT,UTILITY,https://hot-labs.org,,"arbitrum,aurora,base,bnb-chain,ethereum,near,optimism,polygon,solana,stellar,ton",0.0,0.0,0.0,0.0,0.0,0.0,0.0,2080513,34186086.87,50336831,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,3,2.0,1,0.55,11,0.0,14.548125536534139,0.0,0.2703350794123644,0.0,,24.194432334717447,16.43156609451611,0.0,True,UTILITY,UTILITY,False,True,False,False,True,False,False,False,False,False,False,3,True,0.8,True,False,Bridge,False,False,,
Alaya AI,other,Social Network,"AI Research, Social, DAO Tooling, Wallet",True,True,TEAM_CONTROLLED,COMPANY_OWNED,SEMI_DECENTRALIZED,"Token exists, but no clear DAO process; core team steers network and token economics","Knowledge, Photos, NFT, Social, Play to Earn, ai-big-data, binance-smart-chain, governance, bnb-chain-ecosystem, binance-alpha, binance-wallet-ido, binance-ecosystem, binance-listing, BNB Chain Ecosystem",AGT,UTILITY,https://www.aialaya.io/,,"arbitrum,opbnb",0.0,0.0,,0.0,1866293333.0,5000000000.0,0.002705748967,1869774,0.0,2705363,-0.15544002,2.28292244,-14.89052937,-46.79397902,-47.90815401,-41.43066927,,-155440.02000000002,1,0.0,1,0.21666666666666667,2,0.0,14.44132866073602,0.0,0.2683505665741039,25.551042351666666,,1.4468930469671735,0.0,0.0,True,UTILITY,UTILITY,False,True,False,False,False,False,False,True,False,False,True,2,True,0.7,True,False,AI Research,False,False,,
WiFi Map,other,Payments/RWA,"DAO Tooling, Staking, Tokenized rewards",True,False,SNAPSHOT_OFFCHAIN,MIXED,SEMI_DECENTRALIZED,Connectivity/DePIN-style app; WIFI token exists; governance described via DAO-style framing but practical control looks mixed with offchain/community input.,"Move to Earn, RWA, Staking, Play to Earn, distributed-computing, polygon-ecosystem, depin, Polygon Ecosystem",WIFI,UTILITY,https://wifimap.io,,polygon,0.0,0.0,,2000491.0,693864993.8,1000000000.0,0.001039387002,1648601,513.04,4965871,2.85732565,15.63715213,-2.00123464,-61.3764853,-65.42740606,-64.23511229,,2857325.65,2,2.0,1,0.4833333333333333,1,14.50890370827118,14.315438214011081,0.0,0.5375268785343581,34.77956507,0.0,3.012172745254916,0.0003111971908302858,1.2134476443966733,True,UTILITY,UTILITY,False,True,False,False,False,False,True,False,True,False,False,4,True,0.9,True,True,DAO Tooling,True,True,other::Payments/RWA,other::Payments/RWA::DAO Tooling
SubHub,other,Social Network,"Analytics, Social",True,False,HYBRID,FOUNDATION_OWNED,SEMI_DECENTRALIZED,Token SUBHUB described in tokenomics/governance framing; operational ownership appears foundation-led with partial community participation.,"platform, communications-social-media, dapp, bnb-chain-ecosystem, base-ecosystem, binance-alpha, binance-alpha-airdrops, binance-ecosystem, Marketing, Analytics, BNB Chain Ecosystem, Base Ecosystem, Binance Alpha Spotlight",SUBHUB,UTILITY,https://sub-hub.ai/,,icp,0.0,0.0,,254080.0,94000000.0,1000000000.0,0.002694564654,1553128,0.0,1646601,-2.82880947,8.71145754,-29.77843943,-76.2734657,-97.30934701,-97.30934701,,-2828809.4699999997,3,1.0,1,0.44999999999999996,1,12.445408392801426,14.25578216371653,0.0,0.4978026599522457,51.563676115,0.0,1.0601837066874076,0.0,0.1635924405457889,True,UTILITY,UTILITY,False,True,False,False,False,False,False,False,False,False,True,3,True,0.8,True,False,Analytics,False,False,,
Uniswap V4,exchanges,DEX,"AMM DEX, DAO Tooling, Farming, Yield Optimizer",True,True,DAO_WITH_TIMELOCK,MIXED,DECENTRALIZED,Core protocol under Uniswap DAO with timelock; hooks are community-built; decentralized execution for protocol changes,"Pools, Exchanges, DeFi, decentralized-exchange-dex-token, dao, ethereum-ecosystem, yield-farming, amm, coinbase-ventures-portfolio, three-arrows-capital-portfolio, governance, heco-ecosystem, avalanche-ecosystem, solana-ecosystem, blockchain-capital-portfolio, defiance-capital-portfolio, alameda-research-portfolio, a16z-portfolio, pantera-capital-portfolio, parafi-capital, paradigm-portfolio, polygon-ecosystem, terra-ecosystem, near-protocol-ecosystem, arbitrum-ecosystem, cmc-crypto-awards-2024, gnosis-chain-ecosystem, sora-ecosystem, hoo-smart-chain-ecosystem, made-in-america, binance-ecosystem, binance-listing",UNI,GOVERNANCE,https://app.uniswap.org/,,"arbitrum,avalanche,base,blast,bnb-chain,ethereum,optimism,polygon,soneium,unichain",0.0,,,0.0,630330527.7,1000000000.0,6.328548069,1440031,67286661052.0,4458692,1.20118674,3.51059977,-13.49528887,1.81516797,-14.15096932,-35.29100476,607079446.0,1201186.74,6,2.0,2,0.8999999999999999,10,0.0,14.180175893527496,0.0,0.26349779335017326,101179919.04383844,,3.0962472335664994,46725.84204923366,0.0,True,GOVERNANCE,GOVERNANCE,True,False,False,False,True,False,False,False,False,False,False,3,True,0.8,True,False,AMM DEX,False,False,,
Empire of SEI,games,NFT Gaming,"Play 2 Earn, Farming, Social",True,False,TEAM_CONTROLLED,COMPANY_OWNED,CENTRALIZED,Game on Sei ecosystem; no clear public DAO/onchain governance found; appears operated centrally by the team; no reliable token link surfaced in the reviewed sources.,"Farming, NFT, Social, Games, Play to Earn",,,https://www.empireofsei.com/,,sei,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1395457,0.0,1972832,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1,0.0,0,0.06666666666666667,1,0.0,14.148733234766079,0.0,0.2629135219516444,0.0,,1.4137533438866263,0.0,0.0,False,NONE,NONE,False,False,False,False,False,False,False,False,False,True,False,2,True,0.7,True,False,Play 2 Earn,False,False,,
Pixudi,games,NFT Gaming,"Play 2 Earn, Metaverse",True,True,HYBRID,MIXED,SEMI_DECENTRALIZED,Game ecosystem referencing token XUDI; governance appears partially community-facing but not fully onchain-governed; ownership/control looks mixed.,"NFT, Metaverse, Games",XUDI,REWARD,https://game.pixudi.com,,"near,polygon,sei,core,skale-calypso",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1382369,0.0,9356983,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,3,2.0,1,0.55,5,0.0,14.13930997540756,0.0,0.26273841777340434,0.0,,6.7688026858241175,0.0,0.0,True,REWARD,REWARD,False,False,True,False,False,False,False,False,False,True,False,2,True,0.7,True,False,Play 2 Earn,False,False,,
DragonLand,games,NFT Gaming,Play 2 Earn,True,False,TEAM_CONTROLLED,COMPANY_OWNED,CENTRALIZED,P2E/token utility but no DAO mechanics; game ops/treasury controlled by team,"NFT, Games, Play to Earn",DRAGONZ,REWARD,https://dragonland.gg/,,sei,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1273690,333.48,10432058,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1,0.0,0,0.06666666666666667,1,0.0,14.05742954252478,0.0,0.26121690537855335,0.0,,8.190421531141801,0.00026182195039609323,0.0,True,REWARD,REWARD,False,False,True,False,False,False,False,False,False,True,False,3,True,0.8,True,False,Play 2 Earn,False,False,,
Sugar Senpai,games,NFT Gaming,Play 2 Earn,True,False,TEAM_CONTROLLED,COMPANY_OWNED,CENTRALIZED,,"Games, Play to Earn",,,https://sugarsenpai.com/,,sei,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1228064,346.85,2445205,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1,0.0,0,0.06666666666666667,1,0.0,14.020950317884488,0.0,0.2605390438860009,0.0,,1.991105512416291,0.00028243642025171326,0.0,False,NONE,NONE,False,False,False,False,False,False,False,False,False,True,False,3,True,0.8,True,False,Play 2 Earn,False,False,,
Moonveil,games,NFT Gaming,"Play 2 Earn, DAO Tooling, Infrastructure, Yield Optimizer",True,True,TEAM_CONTROLLED,COMPANY_OWNED,SEMI_DECENTRALIZED,Gaming ecosystem/L2-style project; MORE token described; governance not clearly fully token-holder controlled; core direction appears team-driven with community components.,"Layer 2, NFT, Games, Play to Earn, gaming, layer-2, hashkey-capital-portfolio, web3, animoca-brands-portfolio, spartan-group, binance-alpha, binance-alpha-airdrops, binance-ecosystem, Gaming (GameFi), BNB Chain Ecosystem, Animoca Brands Portfolio, Gaming Utility Token, Strategy Games, Binance Alpha Spotlight, Game Studio",MORE,REWARD,https://moonveil.gg/,,"polygon,bnb-chain",0.0,0.0,,18471160.0,179888825.0,1000000000.0,0.00444156379,1183972,0.0,2448681,0.69181891,-3.05042738,-44.87145279,-69.56368148,-94.31346076,-95.62741911,,691818.9099999999,1,0.0,1,0.21666666666666667,2,16.731721208889667,13.984386290112017,0.0,0.5729724243595553,51.237740253333335,0.0,2.068191646424071,0.0,15.601010834715686,True,REWARD,REWARD,False,False,True,False,False,False,False,False,False,True,False,3,True,0.8,True,False,Play 2 Earn,False,False,,
Archer Hunter,games,NFT Gaming,"Play 2 Earn, DAO Tooling, Marketplace",True,False,TEAM_CONTROLLED,COMPANY_OWNED,CENTRALIZED,"Mobile RPG transitioning deeper into Web3 on Sei; Nika Labs acquired IP and introduced $FASTER for in-game utility + ecosystem privileges (incl. governance mentions), but no evidence of binding on-chain governance controlling upgrades/treasury.","NFT, Games, Play to Earn, Marketplaces, Governance, Gaming (GameFi), Adventure Games, Sei Network Ecosystem",FASTER,REWARD,https://archerhunter.io/,,sei,0.0,0.0,0.0,0.0,0.0,1500000000.0,0.0003295,1149084,485.44,2129118,0.0,-22.59436,-75.20418,0.0,0.0,0.0,,0.0,1,0.0,0,0.06666666666666667,1,0.0,13.95447653146633,0.0,0.25930381971330146,16.299756666666667,,1.8528828179663106,0.00042245823629952206,0.0,True,REWARD,REWARD,False,False,True,False,False,False,False,False,False,True,False,3,True,0.8,True,False,Play 2 Earn,False,False,,
SERAPH: In The Darkness,games,NFT Gaming,"Play 2 Earn, Social",True,True,SNAPSHOT_OFFCHAIN,COMPANY_OWNED,SEMI_DECENTRALIZED,"Web3 ARPG with NFTs; $SERAPH is described as enabling community governance, but execution appears non-binding / routed via project operators (typical “token votes → team execution” pattern).","Content Creation, NFT, Social, Games, Play to Earn",SERAPH,REWARD,https://www.seraph.game,,"arbitrum,bnb-chain,opbnb,ethereum",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1105285,0.0,5862794,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2,0.0,1,0.2833333333333333,4,0.0,13.91561468297437,0.0,0.25858168400779064,0.0,,5.304327843045007,0.0,0.0,True,REWARD,REWARD,False,False,True,False,False,False,False,False,False,True,False,2,True,0.7,True,False,Play 2 Earn,False,False,,
P-Link,collectibles,NFT marketplace,NFT Marketplace,True,False,TEAM_CONTROLLED,COMPANY_OWNED,CENTRALIZED,Solana payment-link gateway (send URL/QR to request payment); functions as an app/service layer without a clearly documented native governance/utility token for the dapp itself.,NFT,,,https://p-link.io,,solana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1101137,0.0,33085533,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1,0.0,0,0.06666666666666667,1,0.0,13.911854748449796,0.0,0.2585118164364851,0.0,,30.0466999110919,0.0,0.0,False,NONE,NONE,False,False,False,False,False,False,False,False,False,False,False,2,True,0.7,True,False,NFT Marketplace,False,False,,
IDLE Glory,games,NFT Gaming,"Play 2 Earn, Farming",True,False,TEAM_CONTROLLED,COMPANY_OWNED,CENTRALIZED,P2E game token tracked as IGL; no clear public DAO / binding governance surfaced; project direction and ops appear team-led.,"Farming, NFT, Games, Play to Earn",IGL,REWARD,https://play.idle-glory.io/,,sei,0.0,,,0.0,0.0,280000000.0,,1066226,219.26,2222277,,,,,,,,,1,0.0,0,0.06666666666666667,1,0.0,13.879636806629227,0.0,0.25791313863165766,0.0,,2.084245741521966,0.0002056412055230317,0.0,True,REWARD,REWARD,False,False,True,False,False,False,False,False,False,True,False,3,True,0.8,True,False,Play 2 Earn,False,False,,
motoDEX,games,DEX,"Play 2 Earn, AMM DEX, Staking",True,True,TEAM_CONTROLLED,COMPANY_OWNED,CENTRALIZED,Blockchain racing/NFT game across multiple chains; no formal governance mechanism or DAO execution path clearly documented in the surfaced third-party descriptions.,"Gambling, NFT, Staking, Games, Play to Earn",,,https://motodex.dexstudios.games,,"aurora,base,icp,near,polygon,skale-nebula,starknet,zetachain",0.0,0.0,0.0,0.0,0.0,0.0,0.0,954040,3233185.74,1283681,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1,0.0,0,0.06666666666666667,8,0.0,13.768461926446145,0.0,0.25584727317101946,0.0,,1.3455211521529495,3.3889414909228126,0.0,False,NONE,NONE,False,False,False,False,True,False,False,False,False,True,False,3,True,0.8,True,False,Play 2 Earn,False,False,,
Boredtopia,games,NFT Gaming,"Play 2 Earn, DAO Tooling, Social",True,False,TEAM_CONTROLLED,COMPANY_OWNED,CENTRALIZED,"On-chain game studio / gaming ecosystem; token widely referenced as BCT, but no confirmed binding governance system surfaced.","NFT, Social, DeFi, Games, Play to Earn",BCT,REWARD,http://fff.boredtopia.app/,,sei,0.0,0.0,0.0,0.0,0.0,0.0,0.0,894587,34.37,903418,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1,0.0,0,0.06666666666666667,1,0.0,13.704118556074688,0.0,0.2546516366544562,0.0,,1.009871594378188,3.841996362567307e-05,0.0,True,REWARD,REWARD,False,False,True,False,False,False,False,False,False,True,False,3,True,0.8,True,False,Play 2 Earn,False,False,,
OKX DEX,exchanges,DEX,"AMM DEX, Analytics",True,True,TEAM_CONTROLLED,COMPANY_OWNED,SEMI_DECENTRALIZED,"OKX Web3 DEX aggregation interface (self-custody routing into DeFi), but operated as a company product (policy/availability and service controls sit with OKX rather than token governance).","Exchanges, research, analytics, platform, smart-contracts, dapp, ethereum-ecosystem, layer-2, base-ecosystem",,,https://www.okx.com/web3,,"arbitrum,avalanche,base,blast,bnb-chain,cronos,ethereum,fantom,linea,optimism,other,polygon,sei,solana,ton,tron,zetachain,zksync-era",0.0,,,0.0,0.0,0.0,0.0,876173,228205326.5,8979488,,,,,,,,,1,0.0,1,0.21666666666666667,18,0.0,13.683319980331161,0.0,0.2542651549313524,0.0,,10.248533109328866,260.4569263147803,0.0,False,NONE,NONE,False,False,False,False,True,False,False,False,False,False,False,3,True,0.8,True,False,AMM DEX,False,False,,
