name,dapp_sector,dapp_category,sub_category,is_active,is_multi_chain,governance_type,ownership_status,level_of_decentralisation,research_comments,tags,token_symbol,token_type,website,launch_date,chains,raised_capital,tvl,tvl_ratio,market_cap,circulating_supply,total_supply,price,users,volume,transactions,total_liquidity_usd,percent_change_1h,percent_change_24h,percent_change_7d,percent_change_30d,percent_change_60d,percent_change_90d
HOT Protocol,defi,Bridge/Router,"Bridge, DAO Tooling, Play 2 Earn, Social",TRUE,TRUE,HYBRID,MIXED,SEMI_DECENTRALIZED,MPC/chain-signature oriented protocol; token exists; governance is not purely onchain-token-controlled and appears split between team + community processes.,"Social, Games, Play to Earn",HOT,UTILITY,https://hot-labs.org,,"arbitrum,aurora,base,bnb-chain,ethereum,near,optimism,polygon,solana,stellar,ton",0,0,0,0,0,0,0,2080513,34186086.87,50336831,0,0,0,0,0,0,
Alaya AI,other,Social Network,"AI Research, Social, DAO Tooling, Wallet",TRUE,TRUE,TEAM_CONTROLLED,COMPANY_OWNED,SEMI_DECENTRALIZED,"Token exists, but no clear DAO process; core team steers network and token economics","Knowledge, Photos, NFT, Social, Play to Earn, ai-big-data, binance-smart-chain, governance, bnb-chain-ecosystem, binance-alpha, binance-wallet-ido, binance-ecosystem, binance-listing, BNB Chain Ecosystem",AGT,UTILITY,https://www.aialaya.io/,,"arbitrum,opbnb",0,0,,0,1866293333,5000000000,0.002705748967,1869774,0,2705363,-0.15544002,2.28292244,-14.89052937,-46.79397902,-47.90815401,-41.43066927,
WiFi Map,other,Payments/RWA,"DAO Tooling, Staking, Tokenized rewards",TRUE,FALSE,SNAPSHOT_OFFCHAIN,MIXED,SEMI_DECENTRALIZED,Connectivity/DePIN-style app; WIFI token exists; governance described via DAO-style framing but practical control looks mixed with offchain/community input.,"Move to Earn, RWA, Staking, Play to Earn, distributed-computing, polygon-ecosystem, depin, Polygon Ecosystem",WIFI,UTILITY,https://wifimap.io,,polygon,0,0,,2000491,693864993.8,1000000000,0.001039387002,1648601,513.04,4965871,2.85732565,15.63715213,-2.00123464,-61.3764853,-65.42740606,-64.23511229,
SubHub,other,Social Network,"Analytics, Social",TRUE,FALSE,HYBRID,FOUNDATION_OWNED,SEMI_DECENTRALIZED,Token SUBHUB described in tokenomics/governance framing; operational ownership appears foundation-led with partial community participation.,"platform, communications-social-media, dapp, bnb-chain-ecosystem, base-ecosystem, binance-alpha, binance-alpha-airdrops, binance-ecosystem, Marketing, Analytics, BNB Chain Ecosystem, Base Ecosystem, Binance Alpha Spotlight",SUBHUB,UTILITY,https://sub-hub.ai/,,icp,0,0,,254080,94000000,1000000000,0.002694564654,1553128,0,1646601,-2.82880947,8.71145754,-29.77843943,-76.2734657,-97.30934701,-97.30934701,
Uniswap V4,exchanges,DEX,"AMM DEX, DAO Tooling, Farming, Yield Optimizer",TRUE,TRUE,DAO_WITH_TIMELOCK,MIXED,DECENTRALIZED,Core protocol under Uniswap DAO with timelock; hooks are community-built; decentralized execution for protocol changes,"Pools, Exchanges, DeFi, decentralized-exchange-dex-token, dao, ethereum-ecosystem, yield-farming, amm, coinbase-ventures-portfolio, three-arrows-capital-portfolio, governance, heco-ecosystem, avalanche-ecosystem, solana-ecosystem, blockchain-capital-portfolio, defiance-capital-portfolio, alameda-research-portfolio, a16z-portfolio, pantera-capital-portfolio, parafi-capital, paradigm-portfolio, polygon-ecosystem, terra-ecosystem, near-protocol-ecosystem, arbitrum-ecosystem, cmc-crypto-awards-2024, gnosis-chain-ecosystem, sora-ecosystem, hoo-smart-chain-ecosystem, made-in-america, binance-ecosystem, binance-listing",UNI,GOVERNANCE,https://app.uniswap.org/,,"arbitrum,avalanche,base,blast,bnb-chain,ethereum,optimism,polygon,soneium,unichain",0,,,0,630330527.7,1000000000,6.328548069,1440031,67286661052,4458692,1.20118674,3.51059977,-13.49528887,1.81516797,-14.15096932,-35.29100476,607079446
Empire of SEI,games,NFT Gaming,"Play 2 Earn, Farming, Social",TRUE,FALSE,TEAM_CONTROLLED,COMPANY_OWNED,CENTRALIZED,Game on Sei ecosystem; no clear public DAO/onchain governance found; appears operated centrally by the team; no reliable token link surfaced in the reviewed sources.,"Farming, NFT, Social, Games, Play to Earn",,,https://www.empireofsei.com/,,sei,0,0,0,0,0,0,0,1395457,0,1972832,0,0,0,0,0,0,
Pixudi,games,NFT Gaming,"Play 2 Earn, Metaverse",TRUE,TRUE,HYBRID,MIXED,SEMI_DECENTRALIZED,Game ecosystem referencing token XUDI; governance appears partially community-facing but not fully onchain-governed; ownership/control looks mixed.,"NFT, Metaverse, Games",XUDI,REWARD,https://game.pixudi.com,,"near,polygon,sei,core,skale-calypso",0,0,0,0,0,0,0,1382369,0,9356983,0,0,0,0,0,0,
DragonLand,games,NFT Gaming,Play 2 Earn,TRUE,FALSE,TEAM_CONTROLLED,COMPANY_OWNED,CENTRALIZED,P2E/token utility but no DAO mechanics; game ops/treasury controlled by team,"NFT, Games, Play to Earn",DRAGONZ,REWARD,https://dragonland.gg/,,sei,0,0,0,0,0,0,0,1273690,333.48,10432058,0,0,0,0,0,0,
Sugar Senpai,games,NFT Gaming,Play 2 Earn,TRUE,FALSE,TEAM_CONTROLLED,COMPANY_OWNED,CENTRALIZED,,"Games, Play to Earn",,,https://sugarsenpai.com/,,sei,0,0,0,0,0,0,0,1228064,346.85,2445205,0,0,0,0,0,0,
Moonveil,games,NFT Gaming,"Play 2 Earn, DAO Tooling, Infrastructure, Yield Optimizer",TRUE,TRUE,TEAM_CONTROLLED,COMPANY_OWNED,SEMI_DECENTRALIZED,Gaming ecosystem/L2-style project; MORE token described; governance not clearly fully token-holder controlled; core direction appears team-driven with community components.,"Layer 2, NFT, Games, Play to Earn, gaming, layer-2, hashkey-capital-portfolio, web3, animoca-brands-portfolio, spartan-group, binance-alpha, binance-alpha-airdrops, binance-ecosystem, Gaming (GameFi), BNB Chain Ecosystem, Animoca Brands Portfolio, Gaming Utility Token, Strategy Games, Binance Alpha Spotlight, Game Studio",MORE,REWARD,https://moonveil.gg/,,"polygon,bnb-chain",0,0,,18471160,179888825,1000000000,0.00444156379,1183972,0,2448681,0.69181891,-3.05042738,-44.87145279,-69.56368148,-94.31346076,-95.62741911,
Archer Hunter,games,NFT Gaming,"Play 2 Earn, DAO Tooling, Marketplace",TRUE,FALSE,TEAM_CONTROLLED,COMPANY_OWNED,CENTRALIZED,"Mobile RPG transitioning deeper into Web3 on Sei; Nika Labs acquired IP and introduced $FASTER for in-game utility + ecosystem privileges (incl. governance mentions), but no evidence of binding on-chain governance controlling upgrades/treasury.","NFT, Games, Play to Earn, Marketplaces, Governance, Gaming (GameFi), Adventure Games, Sei Network Ecosystem",FASTER,REWARD,https://archerhunter.io/,,sei,0,0,0,0,0,1500000000,0.0003295,1149084,485.44,2129118,0,-22.59436,-75.20418,0,0,0,
SERAPH: In The Darkness,games,NFT Gaming,"Play 2 Earn, Social",TRUE,TRUE,SNAPSHOT_OFFCHAIN,COMPANY_OWNED,SEMI_DECENTRALIZED,"Web3 ARPG with NFTs; $SERAPH is described as enabling community governance, but execution appears non-binding / routed via project operators (typical “token votes → team execution” pattern).","Content Creation, NFT, Social, Games, Play to Earn",SERAPH,REWARD,https://www.seraph.game,,"arbitrum,bnb-chain,opbnb,ethereum",0,0,0,0,0,0,0,1105285,0,5862794,0,0,0,0,0,0,
P-Link,collectibles,NFT marketplace,NFT Marketplace,TRUE,FALSE,TEAM_CONTROLLED,COMPANY_OWNED,CENTRALIZED,Solana payment-link gateway (send URL/QR to request payment); functions as an app/service layer without a clearly documented native governance/utility token for the dapp itself.,NFT,,,https://p-link.io,,solana,0,0,0,0,0,0,0,1101137,0,33085533,0,0,0,0,0,0,
IDLE Glory,games,NFT Gaming,"Play 2 Earn, Farming",TRUE,FALSE,TEAM_CONTROLLED,COMPANY_OWNED,CENTRALIZED,P2E game token tracked as IGL; no clear public DAO / binding governance surfaced; project direction and ops appear team-led.,"Farming, NFT, Games, Play to Earn",IGL,REWARD,https://play.idle-glory.io/,,sei,0,,,0,0,280000000,,1066226,219.26,2222277,,,,,,,
motoDEX,games,DEX,"Play 2 Earn, AMM DEX, Staking",TRUE,TRUE,TEAM_CONTROLLED,COMPANY_OWNED,CENTRALIZED,Blockchain racing/NFT game across multiple chains; no formal governance mechanism or DAO execution path clearly documented in the surfaced third-party descriptions.,"Gambling, NFT, Staking, Games, Play to Earn",,,https://motodex.dexstudios.games,,"aurora,base,icp,near,polygon,skale-nebula,starknet,zetachain",0,0,0,0,0,0,0,954040,3233185.74,1283681,0,0,0,0,0,0,
Boredtopia,games,NFT Gaming,"Play 2 Earn, DAO Tooling, Social",TRUE,FALSE,TEAM_CONTROLLED,COMPANY_OWNED,CENTRALIZED,"On-chain game studio / gaming ecosystem; token widely referenced as BCT, but no confirmed binding governance system surfaced.","NFT, Social, DeFi, Games, Play to Earn",BCT,REWARD,http://fff.boredtopia.app/,,sei,0,0,0,0,0,0,0,894587,34.37,903418,0,0,0,0,0,0,
OKX DEX,exchanges,DEX,"AMM DEX, Analytics",TRUE,TRUE,TEAM_CONTROLLED,COMPANY_OWNED,SEMI_DECENTRALIZED,"OKX Web3 DEX aggregation interface (self-custody routing into DeFi), but operated as a company product (policy/availability and service controls sit with OKX rather than token governance).","Exchanges, research, analytics, platform, smart-contracts, dapp, ethereum-ecosystem, layer-2, base-ecosystem",,,https://www.okx.com/web3,,"arbitrum,avalanche,base,blast,bnb-chain,cronos,ethereum,fantom,linea,optimism,other,polygon,sei,solana,ton,tron,zetachain,zksync-era",0,,,0,0,0,0,876173,228205326.5,8979488,,,,,,,
PancakeSwap V2,exchanges,DEX,"AMM DEX, Staking, Yield Optimizer",TRUE,TRUE,SNAPSHOT_OFFCHAIN,COMPANY_OWNED,SEMI_DECENTRALIZED,Governance is run through off-chain voting mechanics tied to CAKE (Snapshot-style vote accounting); execution still depends on operator-controlled signers/ops rather than purely automatic binding governance.,"NFT, Exchanges, Staking, Yield, DeFi",CAKE,UTILITY,https://pancakeswap.finance/,,"base,bnb-chain,ethereum,zksync-era",0,0,0,0,0,0,0,867239,60391335025,13222226,0,0,0,0,0,0,
Sweat Economy,games,NFT marketplace,"Play 2 Earn, DAO Tooling, Marketplace, NFT Marketplace",TRUE,TRUE,HYBRID,FOUNDATION_OWNED,SEMI_DECENTRALIZED,"SWEAT DAO uses a non-token “one-person, one-vote” governance model; foundation retains executor powers (including the ability to withhold execution in edge cases), so community influence exists but trusted actors still gate execution.","Move to Earn, Yield, Play to Earn, Marketplaces, Governance, sports, collectibles-nfts, defi, gaming, staking, ethereum-ecosystem, solana-ecosystem, polygon-ecosystem, near-protocol-ecosystem, arbitrum-ecosystem, celo-ecosystem, bnb-chain-ecosystem, move-to-earn, aptos-ecosystem, sui-ecosystem, base-ecosystem, move-vm",SWEAT,REWARD,https://sweateconomy.com,,"base,bnb-chain,solana,near,celo,ethereum",0,,,0,7682441160,20586224563,0.001507161372,831766,160736.53,6491909,1.78885698,-1.80078195,-10.33301187,-1.86186002,-29.76619604,-29.95596476,
Karat Galaxy,games,NFT Gaming,"Play 2 Earn, DAO Tooling, Staking",TRUE,TRUE,TEAM_CONTROLLED,COMPANY_OWNED,CENTRALIZED,"Game/DeFi-style ecosystem referencing KARAT (staking/rewards + governance language appears in community materials), but no strong evidence of binding on-chain governance owning core upgrade authority.","NFT, Staking, DeFi, Games, Play to Earn, Decentralized Finance (DeFi), Gaming (GameFi), BNB Chain Ecosystem",KARAT,REWARD,https://karatgalaxy.io,,"opbnb,bnb-chain",0,0,0,3034140,90120114.77,90120114.77,0.0336933,693558,424219.63,766653,0,1.09331,13.73906,2.24264,0,0,
PancakeSwap V3,defi,DEX,AMM DEX,TRUE,TRUE,SNAPSHOT_OFFCHAIN,COMPANY_OWNED,SEMI_DECENTRALIZED,Same governance surface as PancakeSwap broadly: CAKE-based off-chain voting framework and documented voting guides; execution remains operator-dependent rather than purely on-chain binding control.,,CAKE,UTILITY,https://pancakeswap.finance/,,"base,bnb-chain,zksync-era,ethereum,linea",0,0,0,0,0,0,0,627839,81406413302,15689674,0,0,0,0,0,0,
FishWar,games,NFT Gaming,"Play 2 Earn, AI Agent Platform, DAO Tooling, Farming",TRUE,FALSE,TEAM_CONTROLLED,COMPANY_OWNED,SEMI_DECENTRALIZED,"Token has “platform governance voting,” but no evidence of binding on-chain DAO; team likely executes","Farming, NFT, Games, Play to Earn, gaming, sei-ecosystem, Gaming (GameFi), On-chain Gaming, AI Agents, Sei Network Ecosystem",FISHW,REWARD,https://fishwar.io/,,sei,0,0,,321598,5785864853,57076697777,0.00001796167079,560738,864838.53,568314,-0.11468822,0.05247779,-7.67502323,-7.85347405,-64.79259772,-80.47791076,
WorldShards,games,Payments/RWA,"Play 2 Earn, DAO Tooling, Tokenized rewards",TRUE,TRUE,TEAM_CONTROLLED,COMPANY_OWNED,SEMI_DECENTRALIZED,Claims future player governance; currently studio-run with tokenized assets,"Games, Play to Earn, gaming, ethereum-ecosystem, play-to-earn, bnb-chain-ecosystem, binance-alpha, binance-alpha-airdrops, binance-ecosystem, Gaming (GameFi), BNB Chain Ecosystem, RPG, Gaming Utility Token, Binance Alpha Spotlight, MMO",SHARDS,REWARD,https://www.worldshards.online/,,"arbitrum,base,ethereum",0,0,,15124405,427759258.9,5000000000,0.003722489662,520148,91814.26,916161,0.31738517,0.43984256,-20.91971836,-2.09438542,-37.10658579,-88.55108367,
Jumper Exchange,defi,Analytics,Analytics,TRUE,TRUE,TEAM_CONTROLLED,COMPANY_OWNED,SEMI_DECENTRALIZED,Cross-chain swap/bridge UI built by LI.FI (aggregates DeFi liquidity across many chains); no native governance token is presented as controlling protocol changes—product direction is company-driven.,"Exchanges, DeFi, research, analytics",,,https://jumper.exchange/,,"bnb-chain,ethereum,cronos,soneium,zksync-era,opbnb,polygon,celo,sei,blast,arbitrum,base,abstract,aurora,optimism,avalanche,linea,unichain,fantom,other,lisk",0,,,0,0,0,,519380,3490587135,946675,,,,,,,0
My Guardian Base,games,NFT Gaming,"Play 2 Earn, DAO Tooling",TRUE,FALSE,NONE,COMPANY_OWNED,CENTRALIZED,No governance disclosed; standard mobile/Web3 hybrid run by developer,NFT,,,https://myguardianbase.com,,sei,0,0,0,0,0,0,0,463461,333.48,2754314,0,0,0,0,0,0,
OpenSea,marketplaces,NFT marketplace,"NFT Marketplace, Marketplace, Analytics",TRUE,TRUE,TEAM_CONTROLLED,MIXED,CENTRALIZED,Marketplace infra and policies remain company-run; a foundation will handle token but not core ops,"NFT, NFT Marketplace, research, analytics, platform, smart-contracts, dapp, ethereum-ecosystem, layer-2, base-ecosystem",,,https://opensea.io,,"abstract,arbitrum,avalanche,base,blast,bnb-chain,ethereum,kaia,optimism,polygon,ronin,sei,solana,soneium",889.7,0,,0,0,0,0,441211,162257635.1,1671256,,0,0,0,,,0
Hooked,social,NFT marketplace,"Social, Marketplace, Play 2 Earn",TRUE,TRUE,HYBRID,COMPANY_OWNED,SEMI_DECENTRALIZED,"Web3 onboarding and education platform; HOOK token used for incentives and governance signaling; community participation exists, but execution and product evolution remain team-controlled.","Layer 2, NFT, Games, Play to Earn, Marketplaces",HOOK,UTILITY,https://hooked.io,,"bnb-chain,opbnb",0,0,0,0,0,0,0,431193,0,4138413,0,0,0,0,0,0,
ZetaHub,collectibles,NFT marketplace,"NFT Marketplace, Social, Staking",TRUE,FALSE,TEAM_CONTROLLED,COMPANY_OWNED,CENTRALIZED,"Early-stage Web3 community/engagement hub; no public DAO, token governance, or multisig structure identified; roadmap and upgrades appear fully team-driven.","Pools, Knowledge, Social, Staking, DeFi",,,https://hub.zetachain.com,,zetachain,0,0,0,0,0,0,0,428002,870190.57,2971205,0,0,0,0,0,0,
Miomi Game,games,NFT Gaming,"Play 2 Earn, Social",TRUE,TRUE,TEAM_CONTROLLED,COMPANY_OWNED,CENTRALIZED,"Casual Web3/mobile game; no evidence of DAO, governance token, or community-controlled execution; typical studio-operated game model.","Social, Games, Play to Earn",,,https://miomi.game/,,"skale-nebula,etherlink",0,0,0,0,0,0,0,419242,0,2328886,0,0,0,0,0,0,
PlayEmber,games,NFT Gaming,"Play 2 Earn, Metaverse, DAO Tooling, Staking",TRUE,TRUE,TEAM_CONTROLLED,COMPANY_OWNED,CENTRALIZED,Web3/mobile studio; no DAO governance disclosed,"NFT, Metaverse, Staking, Games, Play to Earn",EMBER,REWARD,https://playember.com/,,"immutablezkevm,near,ethereum",0,0,0,0,0,0,0,386047,3106.17,2804519,0,0,0,0,0,0,
SF Legends,games,Payments/RWA,"Play 2 Earn, DAO Tooling, Tokenized rewards",TRUE,FALSE,NONE,COMPANY_OWNED,CENTRALIZED,Traditional online shooter monetization; no blockchain governance model shown,"NFT, Games",,,https://hub.mythgames.net/,,core,0,0,0,0,0,0,0,379848,832.85,379662,0,0,0,0,0,0,
Alien Worlds,games,NFT marketplace,"Play 2 Earn, Metaverse, DAO Tooling, NFT Marketplace",TRUE,TRUE,HYBRID,MIXED,DECENTRALIZED,Multiple planetary DAOs with elected councils and on-chain processes; studio provides framework while DAOs govern resources,"collectibles-nfts, gaming, entertainment, dao, ethereum-ecosystem, binance-launchpool, metaverse, play-to-earn, animoca-brands-portfolio, bnb-chain-ecosystem, binance-ecosystem, binance-listing, Gaming (GameFi), NFT, BNB Chain Ecosystem, Binance Launchpool, Play To Earn, Ethereum Ecosystem, Animoca Brands Portfolio, Card Games, Gaming Governance Token, YZi Labs (Prev. Binance Labs) Portfolio, Wax Ecosystem, MMO",TLM,REWARD,https://alienworlds.io,,"bnb-chain,wax",0,79100,200.9217306,15824771.3,6138692431,6854359138,0.002588972988,375538,709315.61,231621028,1.42525919,0.98456177,-2.55639608,-25.57943492,-33.40056707,-44.77650015,78953
KYO finance,defi,DEX,"Yield Optimizer, Farming, Analytics",TRUE,FALSE,SNAPSHOT_OFFCHAIN,MIXED,SEMI_DECENTRALIZED,DeFi protocol with community-facing governance via token-based voting; decisions are advisory and executed by a core multisig/team rather than binding on-chain governance.,"Farming, Exchanges, Yield, DeFi, research, analytics",KYO,UTILITY,https://app.kyo.finance,,soneium,5,,,0,0,0,,372494,3056940.97,939300,,,,,,,3536710
1inch Network,defi,DEX,"AMM DEX, DEX Aggregator, Bridge, Aggregator",TRUE,TRUE,MULTISIG_WITH_COMMUNITY_INPUT,FOUNDATION_OWNED,SEMI_DECENTRALIZED,"Off-chain Snapshot with on-chain execution guarded by DAO multisig; strong, but not fully autonomous","Pools, Exchanges, DeFi, decentralized-exchange-dex-token, wallet, ethereum-ecosystem, amm, binance-labs-portfolio, avalanche-ecosystem, solana-ecosystem, blockchain-capital-portfolio, dragonfly-capital-portfolio, fabric-ventures-portfolio, alameda-research-portfolio, parafi-capital, spartan-group, bnb-chain-ecosystem, celsius-bankruptcy-estate, binance-ecosystem, binance-listing",1INCH,UTILITY,https://app.1inch.io,,"arbitrum,base,bnb-chain,aurora,ethereum,optimism,avalanche,kaia,fantom,zksync-era,polygon",1328.6,,,278594056.1,1397639117,1500000000,0.2350732197,363704,12769437322,1243080,-0.23100211,-10.14644932,-10.66777022,-12.60134755,-13.123799,28.68629488,4010423
Candy Dreams,games,NFT Gaming,"Play 2 Earn, DAO Tooling",TRUE,FALSE,TEAM_CONTROLLED,COMPANY_OWNED,CENTRALIZED,Telegram match “mining” game; no governance/DAO evidence,"Games, Play to Earn",,,https://www.mokoko.vip/,,sei,0,0,0,0,0,0,0,356235,68.27,661092,0,0,0,0,0,0,
AtomicAssets,other,NFT marketplace,"NFT Tools, NFT Marketplace",TRUE,FALSE,MULTISIG_WITH_COMMUNITY_INPUT,MIXED,SEMI_DECENTRALIZED,"WAX NFT standard and marketplace infrastructure; protocol contracts are non-custodial, but upgrades and policies are executed via foundation/team multisigs with ecosystem input.",,,,https://atomicassets.io,,wax,0,0,0,0,0,0,0,330472,18244.96,3117999,0,0,0,0,0,0,
